10	124977.449988	3340.299090
5290	-nan(ind)	-nan(ind)
5300	-nan(ind)	-nan(ind)
5310	-nan(ind)	-nan(ind)
5320	-nan(ind)	-nan(ind)
5330	-nan(ind)	-nan(ind)
5340	-nan(ind)	-nan(ind)
5350	-nan(ind)	-nan(ind)
5360	-nan(ind)	-nan(ind)
5370	-nan(ind)	-nan(ind)
5380	-nan(ind)	-nan(ind)
5390	-nan(ind)	-nan(ind)
5400	-nan(ind)	-nan(ind)
5410	-nan(ind)	-nan(ind)
5420	-nan(ind)	-nan(ind)
5430	-nan(ind)	-nan(ind)
5440	-nan(ind)	-nan(ind)
5450	-nan(ind)	-nan(ind)
5460	-nan(ind)	-nan(ind)
5470	-nan(ind)	-nan(ind)
5480	-nan(ind)	-nan(ind)
5490	-nan(ind)	-nan(ind)
5500	-nan(ind)	-nan(ind)
5510	-nan(ind)	-nan(ind)
5520	-nan(ind)	-nan(ind)
5530	-nan(ind)	-nan(ind)
5540	-nan(ind)	-nan(ind)
5550	-nan(ind)	-nan(ind)
5560	-nan(ind)	-nan(ind)
5570	-nan(ind)	-nan(ind)
5580	-nan(ind)	-nan(ind)
5590	-nan(ind)	-nan(ind)
5600	-nan(ind)	-nan(ind)
5610	-nan(ind)	-nan(ind)
5620	-nan(ind)	-nan(ind)
5630	-nan(ind)	-nan(ind)
5640	-nan(ind)	-nan(ind)
5650	-nan(ind)	-nan(ind)
5660	-nan(ind)	-nan(ind)
5670	-nan(ind)	-nan(ind)
5680	-nan(ind)	-nan(ind)
5690	-nan(ind)	-nan(ind)
5700	-nan(ind)	-nan(ind)
5710	-nan(ind)	-nan(ind)
5720	-nan(ind)	-nan(ind)
5730	-nan(ind)	-nan(ind)
5740	-nan(ind)	-nan(ind)
5750	-nan(ind)	-nan(ind)
5760	-nan(ind)	-nan(ind)
5770	-nan(ind)	-nan(ind)
5780	-nan(ind)	-nan(ind)
5790	-nan(ind)	-nan(ind)
5800	-nan(ind)	-nan(ind)
5810	-nan(ind)	-nan(ind)
5820	-nan(ind)	-nan(ind)
5830	-nan(ind)	-nan(ind)
5840	-nan(ind)	-nan(ind)
5850	-nan(ind)	-nan(ind)
5860	-nan(ind)	-nan(ind)
5870	-nan(ind)	-nan(ind)
5880	-nan(ind)	-nan(ind)
5890	-nan(ind)	-nan(ind)
5900	-nan(ind)	-nan(ind)
5910	-nan(ind)	-nan(ind)
5920	-nan(ind)	-nan(ind)
5930	-nan(ind)	-nan(ind)
5940	-nan(ind)	-nan(ind)
5950	-nan(ind)	-nan(ind)
5960	-nan(ind)	-nan(ind)
5970	-nan(ind)	-nan(ind)
5980	-nan(ind)	-nan(ind)
5990	-nan(ind)	-nan(ind)
6000	-nan(ind)	-nan(ind)
6010	-nan(ind)	-nan(ind)
6020	-nan(ind)	-nan(ind)
6030	-nan(ind)	-nan(ind)
6040	-nan(ind)	-nan(ind)
6050	-nan(ind)	-nan(ind)
6060	-nan(ind)	-nan(ind)
6070	-nan(ind)	-nan(ind)
6080	-nan(ind)	-nan(ind)
6090	-nan(ind)	-nan(ind)
6100	-nan(ind)	-nan(ind)
6110	-nan(ind)	-nan(ind)
6120	-nan(ind)	-nan(ind)
6130	-nan(ind)	-nan(ind)
6140	-nan(ind)	-nan(ind)
6150	-nan(ind)	-nan(ind)
6160	-nan(ind)	-nan(ind)
6170	-nan(ind)	-nan(ind)
6180	-nan(ind)	-nan(ind)
6190	-nan(ind)	-nan(ind)
6200	-nan(ind)	-nan(ind)
6210	-nan(ind)	-nan(ind)
6220	-nan(ind)	-nan(ind)
6230	-nan(ind)	-nan(ind)
6240	-nan(ind)	-nan(ind)
6250	-nan(ind)	-nan(ind)
6260	-nan(ind)	-nan(ind)
6270	-nan(ind)	-nan(ind)
6280	-nan(ind)	-nan(ind)
6290	-nan(ind)	-nan(ind)
6300	-nan(ind)	-nan(ind)
6310	-nan(ind)	-nan(ind)
6320	-nan(ind)	-nan(ind)
6330	-nan(ind)	-nan(ind)
6340	-nan(ind)	-nan(ind)
6350	-nan(ind)	-nan(ind)
6360	-nan(ind)	-nan(ind)
6370	-nan(ind)	-nan(ind)
6380	-nan(ind)	-nan(ind)
6390	-nan(ind)	-nan(ind)
6400	-nan(ind)	-nan(ind)
6410	-nan(ind)	-nan(ind)
6420	-nan(ind)	-nan(ind)
6430	-nan(ind)	-nan(ind)
6440	-nan(ind)	-nan(ind)
6450	-nan(ind)	-nan(ind)
6460	-nan(ind)	-nan(ind)
6470	-nan(ind)	-nan(ind)
6480	-nan(ind)	-nan(ind)
6490	-nan(ind)	-nan(ind)
6500	-nan(ind)	-nan(ind)
6510	-nan(ind)	-nan(ind)
6520	-nan(ind)	-nan(ind)
6530	-nan(ind)	-nan(ind)
6540	-nan(ind)	-nan(ind)
6550	-nan(ind)	-nan(ind)
6560	-nan(ind)	-nan(ind)
6570	-nan(ind)	-nan(ind)
6580	-nan(ind)	-nan(ind)
6590	-nan(ind)	-nan(ind)
6600	-nan(ind)	-nan(ind)
6610	-nan(ind)	-nan(ind)
6620	-nan(ind)	-nan(ind)
6630	-nan(ind)	-nan(ind)
6640	-nan(ind)	-nan(ind)
6650	-nan(ind)	-nan(ind)
6660	-nan(ind)	-nan(ind)
6670	-nan(ind)	-nan(ind)
6680	-nan(ind)	-nan(ind)
6690	-nan(ind)	-nan(ind)
